timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
8,398.0,245.625,199.5,8,0,0
11,398.0,174.0,174.0,1,0,0
10,398.0,129.33333333333334,107.0,3,0,0
16,474.0,200.0,200.0,1,0,0
13,474.0,157.0,157.0,1,0,0
13,341.0,220.25,193.0,4,0,0
12,341.0,193.0,193.0,2,0,0
11,341.0,106.33333333333333,63.0,3,0,0
10,341.0,75.5,75.5,4,0,0
8,341.0,139.125,114.0,8,0,0
7,341.0,91.5,91.5,2,0,0
11,474.0,200.0,200.0,11,0,0
7,474.0,200.0,200.0,61,0,0
8,474.0,200.33333333333334,104.0,3,0,0
17,365.0,28.0,28.0,1,0,0
19,354.0,128.6,155.0,10,0,0
18,354.0,93.0,93.0,2,0,0
17,354.0,138.73684210526315,93.0,19,0,0
16,354.0,48.5,35.5,8,0,0
15,354.0,155.0,155.0,1,0,0
14,354.0,56.5,54.5,6,0,0
13,354.0,141.0,141.0,1,0,0
12,354.0,141.0,141.0,1,0,0
18,452.0,278.15384615384613,135.0,13,0,0
17,452.0,490.3478260869565,135.0,23,0,0
19,452.0,769.0,828.0,19,0,0
14,452.0,158.89655172413794,135.0,29,0,0
13,452.0,125.0,135.0,3,0,0
16,452.0,152.5,152.5,2,0,0
17,343.0,50.0,50.0,1,0,0
9,452.0,36.0,36.0,2,0,0
12,452.0,685.0,685.0,8,0,0
11,452.0,153.33333333333334,135.0,3,0,0
8,452.0,345.0,221.0,5,0,0
7,452.0,124.0,124.0,2,0,0
11,354.0,112.8,155.0,5,0,0
10,354.0,116.0,150.0,3,0,0
8,354.0,139.28571428571428,68.0,7,0,0
7,354.0,162.0,130.0,5,0,0
17,332.0,210.0,210.0,2,0,0
14,332.0,206.0,206.0,1,0,0
13,332.0,114.0,114.0,2,0,0
10,378.0,228.0,228.0,1,0,0
17,430.0,1456.0,1456.0,1,0,0
17,269.0,130.0,130.0,1,0,0
19,269.0,277.0,277.0,37,0,0
12,269.0,276.0,276.0,1,0,0
11,269.0,587.0,587.0,1,0,0
14,269.0,276.0,276.0,3,0,0
13,269.0,276.0,276.0,5,0,0
16,269.0,276.0,276.0,5,0,0
15,269.0,329.0,329.0,2,0,0
18,367.0,75.25,93.0,4,0,0
17,321.0,258.57142857142856,230.0,21,0,0
9,430.0,168.0,168.0,1,0,0
11,430.0,305.0,305.0,1,0,0
12,430.0,560.0,560.0,2,0,0
8,430.0,671.3333333333334,720.0,6,0,0
17,367.0,565.5,714.0,8,0,0
16,465.0,133.0,133.0,1,0,0
7,378.0,174.0,174.0,3,0,0
8,378.0,290.0,333.0,11,0,0
9,378.0,106.0,106.0,1,0,0
10,332.0,88.0,88.0,1,0,0
8,332.0,118.0,118.0,6,0,0
17,371.0,199.6,176.0,5,0,0
18,371.0,225.0,225.0,1,0,0
8,416.0,294.5,348.0,4,0,0
7,416.0,191.0,187.0,3,0,0
11,416.0,130.0,130.0,1,0,0
10,416.0,522.0,522.0,1,0,0
9,416.0,132.0,132.0,1,0,0
14,416.0,130.0,130.0,1,0,0
13,416.0,253.33333333333334,312.0,3,0,0
17,416.0,178.0,178.0,2,0,0
9,307.0,219.77777777777777,116.0,9,0,0
8,307.0,241.0,116.0,6,0,0
11,307.0,176.0,176.0,1,0,0
10,307.0,144.0,144.0,1,0,0
19,360.0,156.0,156.0,1,0,0
7,307.0,116.0,116.0,2,0,0
18,360.0,23.0,23.0,1,0,0
